date,region,resource_type,usage_cpu,usage_storage,users_active,economic_index,cloud_market_demand,holiday,day_of_week,month,quarter,is_weekend,cpu_usage_lag1,cpu_usage_lag3,cpu_usage_lag7,rolling_mean_7,rolling_max_7,rolling_min_7,rolling_mean_30,rolling_max_30,rolling_min_30,cpu_utilization
2023-01-02,Southeast Asia,Container,53,1202,417,106.48,1.15,0,0,1,1,0,96.0,92.0,82.0,72.57142857142857,96.0,52.0,,,,0.5353535353535354
2023-01-02,Southeast Asia,Storage,55,1065,305,106.48,1.15,0,0,1,1,0,53.0,52.0,85.0,68.28571428571429,96.0,52.0,,,,0.5555555555555556
2023-01-02,Southeast Asia,VM,66,1911,201,106.48,1.15,0,0,1,1,0,55.0,96.0,60.0,69.14285714285714,96.0,52.0,,,,0.6666666666666666
2023-01-02,North Europe,Container,96,534,405,106.48,1.15,0,0,1,1,0,66.0,53.0,70.0,72.85714285714286,96.0,52.0,,,,0.9696969696969697
2023-01-02,North Europe,VM,51,1863,291,106.48,1.15,0,0,1,1,0,96.0,55.0,92.0,67.0,96.0,51.0,,,,0.5151515151515151
2023-01-02,East US,Container,86,1146,220,106.48,1.15,0,0,1,1,0,51.0,66.0,52.0,71.85714285714286,96.0,51.0,,,,0.8686868686868687
2023-01-02,West US,Storage,53,1100,213,106.48,1.15,0,0,1,1,0,86.0,96.0,96.0,65.71428571428571,96.0,51.0,,,,0.5353535353535354
2023-01-02,West US,VM,58,666,473,106.48,1.15,0,0,1,1,0,53.0,51.0,53.0,66.42857142857143,96.0,51.0,,,,0.5858585858585859
2023-01-02,East US,Storage,93,1767,330,106.48,1.15,0,0,1,1,0,58.0,86.0,55.0,71.85714285714286,96.0,51.0,,,,0.9393939393939394
2023-01-02,East US,VM,96,1457,250,106.48,1.15,0,0,1,1,0,93.0,53.0,66.0,76.14285714285714,96.0,51.0,,,,0.9696969696969697
2023-01-02,West US,Container,99,1276,252,106.48,1.15,0,0,1,1,0,96.0,58.0,96.0,76.57142857142857,99.0,51.0,,,,1.0
2023-01-03,North Europe,Storage,64,564,208,97.66,0.98,0,1,1,1,0,99.0,93.0,51.0,78.42857142857143,99.0,53.0,,,,0.6464646464646465
2023-01-03,Southeast Asia,Container,84,788,460,97.66,0.98,0,1,1,1,0,64.0,96.0,86.0,78.14285714285714,99.0,53.0,,,,0.8484848484848485
2023-01-03,Southeast Asia,Storage,66,891,362,97.66,0.98,0,1,1,1,0,84.0,99.0,53.0,80.0,99.0,58.0,,,,0.6666666666666666
2023-01-03,Southeast Asia,VM,73,1586,338,97.66,0.98,0,1,1,1,0,66.0,64.0,58.0,82.14285714285714,99.0,64.0,,,,0.7373737373737373
2023-01-03,North Europe,VM,94,1564,356,97.66,0.98,0,1,1,1,0,73.0,84.0,93.0,82.28571428571429,99.0,64.0,,,,0.9494949494949495
2023-01-03,North Europe,Container,73,1652,335,97.66,0.98,0,1,1,1,0,94.0,66.0,96.0,79.0,99.0,64.0,75.16666666666667,99.0,51.0,0.7373737373737373
2023-01-03,West US,Storage,67,1378,252,97.66,0.98,0,1,1,1,0,73.0,73.0,99.0,74.42857142857143,94.0,64.0,74.46666666666667,99.0,51.0,0.6767676767676768
2023-01-03,West US,VM,89,1219,436,97.66,0.98,0,1,1,1,0,67.0,94.0,64.0,78.0,94.0,66.0,74.86666666666666,99.0,51.0,0.898989898989899
2023-01-03,West US,Container,73,716,451,97.66,0.98,0,1,1,1,0,89.0,73.0,84.0,76.42857142857143,94.0,66.0,74.76666666666667,99.0,51.0,0.7373737373737373
2023-01-03,East US,Container,57,1985,414,97.66,0.98,0,1,1,1,0,73.0,67.0,66.0,75.14285714285714,94.0,57.0,73.56666666666666,99.0,51.0,0.5757575757575758
2023-01-03,East US,Storage,85,769,470,97.66,0.98,0,1,1,1,0,57.0,89.0,73.0,76.85714285714286,94.0,57.0,74.7,99.0,51.0,0.8585858585858586
2023-01-03,East US,VM,93,661,401,97.66,0.98,0,1,1,1,0,85.0,73.0,94.0,76.71428571428571,93.0,57.0,75.36666666666666,99.0,51.0,0.9393939393939394
2023-01-04,Southeast Asia,Storage,75,1391,378,115.79,1.08,0,2,1,1,0,93.0,57.0,73.0,77.0,93.0,57.0,75.13333333333334,99.0,51.0,0.7575757575757576
2023-01-04,Southeast Asia,VM,58,706,214,115.79,1.08,0,2,1,1,0,75.0,85.0,67.0,75.71428571428571,93.0,57.0,74.23333333333333,99.0,51.0,0.5858585858585859
2023-01-04,North Europe,Container,63,1370,482,115.79,1.08,0,2,1,1,0,58.0,93.0,89.0,72.0,93.0,57.0,74.33333333333333,99.0,51.0,0.6363636363636364
2023-01-04,North Europe,Storage,50,1528,417,115.79,1.08,0,2,1,1,0,63.0,75.0,73.0,68.71428571428571,93.0,50.0,73.66666666666667,99.0,50.0,0.5050505050505051
2023-01-04,North Europe,VM,50,1112,330,115.79,1.08,0,2,1,1,0,50.0,58.0,57.0,67.71428571428571,93.0,50.0,72.26666666666667,99.0,50.0,0.5050505050505051
2023-01-04,Southeast Asia,Container,81,1242,440,115.79,1.08,0,2,1,1,0,50.0,63.0,85.0,67.14285714285714,93.0,50.0,73.23333333333333,99.0,50.0,0.8181818181818182
2023-01-04,West US,Storage,73,1304,298,115.79,1.08,0,2,1,1,0,81.0,50.0,93.0,64.28571428571429,81.0,50.0,72.46666666666667,99.0,50.0,0.7373737373737373
2023-01-04,West US,VM,97,1002,261,115.79,1.08,0,2,1,1,0,73.0,50.0,75.0,67.42857142857143,97.0,50.0,73.93333333333334,99.0,50.0,0.9797979797979798
2023-01-04,East US,Container,57,1279,232,115.79,1.08,0,2,1,1,0,97.0,81.0,58.0,67.28571428571429,97.0,50.0,74.0,99.0,50.0,0.5757575757575758
2023-01-04,East US,Storage,77,634,400,115.79,1.08,0,2,1,1,0,57.0,73.0,63.0,69.28571428571429,97.0,50.0,74.36666666666666,99.0,50.0,0.7777777777777778
2023-01-04,East US,VM,91,730,240,115.79,1.08,0,2,1,1,0,77.0,97.0,50.0,75.14285714285714,97.0,50.0,74.2,99.0,50.0,0.9191919191919192
2023-01-04,West US,Container,93,1225,234,115.79,1.08,0,2,1,1,0,91.0,57.0,50.0,81.28571428571429,97.0,57.0,75.6,99.0,50.0,0.9393939393939394
2023-01-05,Southeast Asia,Container,57,1934,336,95.31,1.05,0,3,1,1,0,93.0,77.0,81.0,77.85714285714286,97.0,57.0,74.63333333333334,99.0,50.0,0.5757575757575758
2023-01-05,Southeast Asia,Storage,62,1782,397,95.31,1.05,0,3,1,1,0,57.0,91.0,73.0,76.28571428571429,97.0,57.0,74.93333333333334,99.0,50.0,0.6262626262626263
2023-01-05,Southeast Asia,VM,82,1908,482,95.31,1.05,0,3,1,1,0,62.0,93.0,97.0,74.14285714285714,93.0,57.0,75.73333333333333,99.0,50.0,0.8282828282828283
2023-01-05,North Europe,Container,60,1871,430,95.31,1.05,0,3,1,1,0,82.0,57.0,57.0,74.57142857142857,93.0,57.0,74.63333333333334,99.0,50.0,0.6060606060606061
2023-01-05,North Europe,Storage,93,1863,485,95.31,1.05,0,3,1,1,0,60.0,62.0,77.0,76.85714285714286,93.0,57.0,74.53333333333333,99.0,50.0,0.9393939393939394
2023-01-05,North Europe,VM,77,1551,307,95.31,1.05,0,3,1,1,0,93.0,82.0,91.0,74.85714285714286,93.0,57.0,73.8,97.0,50.0,0.7777777777777778
2023-01-05,West US,Container,94,1512,333,95.31,1.05,0,3,1,1,0,77.0,60.0,93.0,75.0,94.0,57.0,74.8,97.0,50.0,0.9494949494949495
2023-01-05,West US,VM,56,1766,285,95.31,1.05,0,3,1,1,0,94.0,93.0,57.0,74.85714285714286,94.0,56.0,73.86666666666666,97.0,50.0,0.5656565656565656
2023-01-05,East US,Container,85,1024,359,95.31,1.05,0,3,1,1,0,56.0,77.0,62.0,78.14285714285714,94.0,56.0,74.5,97.0,50.0,0.8585858585858586
2023-01-05,East US,Storage,94,1694,228,95.31,1.05,0,3,1,1,0,85.0,94.0,82.0,79.85714285714286,94.0,56.0,75.2,97.0,50.0,0.9494949494949495
2023-01-05,East US,VM,81,984,430,95.31,1.05,0,3,1,1,0,94.0,56.0,60.0,82.85714285714286,94.0,56.0,74.76666666666667,97.0,50.0,0.8181818181818182
2023-01-05,West US,Storage,77,1077,369,95.31,1.05,0,3,1,1,0,81.0,85.0,93.0,80.57142857142857,94.0,56.0,74.9,97.0,50.0,0.7777777777777778
2023-01-06,North Europe,Storage,77,1354,423,95.37,0.95,0,4,1,1,0,77.0,94.0,77.0,80.57142857142857,94.0,56.0,75.23333333333333,97.0,50.0,0.7777777777777778
2023-01-06,Southeast Asia,Container,53,1962,402,95.37,0.95,0,4,1,1,0,77.0,81.0,94.0,74.71428571428571,94.0,53.0,74.03333333333333,97.0,50.0,0.5353535353535354
2023-01-06,Southeast Asia,Storage,75,1939,446,95.37,0.95,0,4,1,1,0,53.0,77.0,56.0,77.42857142857143,94.0,53.0,74.1,97.0,50.0,0.7575757575757576
2023-01-06,Southeast Asia,VM,51,1576,371,95.37,0.95,0,4,1,1,0,75.0,77.0,85.0,72.57142857142857,94.0,51.0,73.9,97.0,50.0,0.5151515151515151
2023-01-06,North Europe,VM,98,501,329,95.37,0.95,0,4,1,1,0,51.0,53.0,94.0,73.14285714285714,98.0,51.0,74.33333333333333,98.0,50.0,0.98989898989899
2023-01-06,North Europe,Container,82,884,325,95.37,0.95,0,4,1,1,0,98.0,75.0,81.0,73.28571428571429,98.0,51.0,73.96666666666667,98.0,50.0,0.8282828282828283
2023-01-06,West US,Storage,61,1909,312,95.37,0.95,0,4,1,1,0,82.0,51.0,77.0,71.0,98.0,51.0,73.5,98.0,50.0,0.6161616161616161
2023-01-06,East US,VM,86,1748,433,95.37,0.95,0,4,1,1,0,61.0,98.0,77.0,72.28571428571429,98.0,51.0,74.43333333333334,98.0,50.0,0.8686868686868687
2023-01-06,East US,Storage,93,1163,359,95.37,0.95,0,4,1,1,0,86.0,82.0,53.0,78.0,98.0,51.0,75.43333333333334,98.0,50.0,0.9393939393939394
2023-01-06,West US,Container,86,1451,280,95.37,0.95,0,4,1,1,0,93.0,61.0,75.0,79.57142857142857,98.0,51.0,76.63333333333334,98.0,50.0,0.8686868686868687
2023-01-06,West US,VM,98,941,251,95.37,0.95,0,4,1,1,0,86.0,86.0,51.0,86.28571428571429,98.0,61.0,78.23333333333333,98.0,51.0,0.98989898989899
2023-01-06,East US,Container,81,1995,432,95.37,0.95,0,4,1,1,0,98.0,93.0,98.0,83.85714285714286,98.0,61.0,78.23333333333333,98.0,51.0,0.8181818181818182
2023-01-07,Southeast Asia,Container,56,643,311,102.42,0.81,1,5,1,1,1,81.0,86.0,82.0,80.14285714285714,98.0,56.0,77.66666666666667,98.0,51.0,0.5656565656565656
2023-01-07,Southeast Asia,Storage,80,1821,298,102.42,0.81,1,5,1,1,1,56.0,98.0,61.0,82.85714285714286,98.0,56.0,77.1,98.0,51.0,0.8080808080808081
2023-01-07,Southeast Asia,VM,60,972,350,102.42,0.81,1,5,1,1,1,80.0,81.0,86.0,79.14285714285714,98.0,56.0,77.2,98.0,51.0,0.6060606060606061
2023-01-07,North Europe,Container,88,837,328,102.42,0.81,1,5,1,1,1,60.0,56.0,93.0,78.42857142857143,98.0,56.0,77.56666666666666,98.0,51.0,0.8888888888888888
2023-01-07,North Europe,VM,69,1363,398,102.42,0.81,1,5,1,1,1,88.0,80.0,86.0,76.0,98.0,56.0,76.83333333333333,98.0,51.0,0.696969696969697
2023-01-07,North Europe,Storage,90,1428,327,102.42,0.81,1,5,1,1,1,69.0,60.0,98.0,74.85714285714286,90.0,56.0,76.73333333333333,98.0,51.0,0.9090909090909091
2023-01-07,West US,Storage,55,963,458,102.42,0.81,1,5,1,1,1,90.0,88.0,81.0,71.14285714285714,90.0,55.0,76.66666666666667,98.0,51.0,0.5555555555555556
2023-01-07,West US,VM,65,1108,400,102.42,0.81,1,5,1,1,1,55.0,69.0,56.0,72.42857142857143,90.0,55.0,76.76666666666667,98.0,51.0,0.6565656565656566
2023-01-07,East US,Container,55,1481,439,102.42,0.81,1,5,1,1,1,65.0,90.0,80.0,68.85714285714286,90.0,55.0,75.86666666666666,98.0,51.0,0.5555555555555556
2023-01-07,East US,Storage,73,1383,297,102.42,0.81,1,5,1,1,1,55.0,55.0,60.0,70.71428571428571,90.0,55.0,76.3,98.0,51.0,0.7373737373737373
2023-01-07,East US,VM,66,1266,493,102.42,0.81,1,5,1,1,1,73.0,65.0,88.0,67.57142857142857,90.0,55.0,75.4,98.0,51.0,0.6666666666666666
2023-01-07,West US,Container,69,1263,346,102.42,0.81,1,5,1,1,1,66.0,55.0,69.0,67.57142857142857,90.0,55.0,75.13333333333334,98.0,51.0,0.696969696969697
2023-01-08,North Europe,Storage,98,1943,303,82.75,0.94,1,6,1,1,1,69.0,73.0,90.0,68.71428571428571,98.0,55.0,75.26666666666667,98.0,51.0,0.98989898989899
2023-01-08,Southeast Asia,Container,84,1456,368,82.75,0.94,1,6,1,1,1,98.0,66.0,55.0,72.85714285714286,98.0,55.0,76.2,98.0,51.0,0.8484848484848485
2023-01-08,Southeast Asia,Storage,74,1413,393,82.75,0.94,1,6,1,1,1,84.0,69.0,65.0,74.14285714285714,98.0,55.0,75.83333333333333,98.0,51.0,0.7474747474747475
2023-01-08,Southeast Asia,VM,97,1009,298,82.75,0.94,1,6,1,1,1,74.0,98.0,55.0,80.14285714285714,98.0,66.0,75.93333333333334,98.0,51.0,0.9797979797979798
2023-01-08,North Europe,Container,69,753,426,82.75,0.94,1,6,1,1,1,97.0,84.0,73.0,79.57142857142857,98.0,66.0,75.53333333333333,98.0,51.0,0.696969696969697
2023-01-08,North Europe,VM,82,1127,274,82.75,0.94,1,6,1,1,1,69.0,74.0,66.0,81.85714285714286,98.0,69.0,75.7,98.0,51.0,0.8282828282828283
2023-01-08,East US,Storage,61,952,236,82.75,0.94,1,6,1,1,1,82.0,97.0,69.0,80.71428571428571,98.0,61.0,75.16666666666667,98.0,51.0,0.6161616161616161
2023-01-08,West US,Storage,97,707,330,82.75,0.94,1,6,1,1,1,61.0,69.0,98.0,80.57142857142857,97.0,61.0,76.63333333333334,98.0,51.0,0.9797979797979798
2023-01-08,West US,VM,90,1622,346,82.75,0.94,1,6,1,1,1,97.0,82.0,84.0,81.42857142857143,97.0,61.0,77.13333333333334,98.0,51.0,0.9090909090909091
2023-01-08,East US,Container,81,1514,208,82.75,0.94,1,6,1,1,1,90.0,61.0,74.0,82.42857142857143,97.0,61.0,78.13333333333334,98.0,55.0,0.8181818181818182
2023-01-08,East US,VM,98,501,453,82.75,0.94,1,6,1,1,1,81.0,97.0,97.0,82.57142857142857,98.0,61.0,78.13333333333334,98.0,55.0,0.98989898989899
2023-01-08,West US,Container,69,651,253,82.75,0.94,1,6,1,1,1,98.0,90.0,69.0,82.57142857142857,98.0,61.0,77.7,98.0,55.0,0.696969696969697
2023-01-09,North Europe,VM,94,1062,463,89.87,1.03,0,0,1,1,0,69.0,81.0,82.0,84.28571428571429,98.0,61.0,78.8,98.0,55.0,0.9494949494949495
2023-01-09,Southeast Asia,Storage,53,1046,391,89.87,1.03,0,0,1,1,0,94.0,98.0,61.0,83.14285714285714,98.0,53.0,77.7,98.0,53.0,0.5353535353535354
2023-01-09,Southeast Asia,VM,77,1378,346,89.87,1.03,0,0,1,1,0,53.0,69.0,97.0,80.28571428571429,98.0,53.0,77.16666666666667,98.0,53.0,0.7777777777777778
2023-01-09,North Europe,Container,70,1297,296,89.87,1.03,0,0,1,1,0,77.0,94.0,90.0,77.42857142857143,98.0,53.0,76.63333333333334,98.0,53.0,0.7070707070707071
2023-01-09,North Europe,Storage,76,526,425,89.87,1.03,0,0,1,1,0,70.0,53.0,81.0,76.71428571428571,98.0,53.0,75.9,98.0,53.0,0.7676767676767676
2023-01-09,Southeast Asia,Container,98,516,371,89.87,1.03,0,0,1,1,0,76.0,77.0,98.0,76.71428571428571,98.0,53.0,76.46666666666667,98.0,53.0,0.98989898989899
2023-01-09,West US,Container,95,537,429,89.87,1.03,0,0,1,1,0,98.0,70.0,69.0,80.42857142857143,98.0,53.0,77.76666666666667,98.0,53.0,0.9595959595959596
2023-01-09,West US,VM,52,900,327,89.87,1.03,0,0,1,1,0,95.0,76.0,94.0,74.42857142857143,98.0,52.0,76.83333333333333,98.0,52.0,0.5252525252525253
2023-01-09,East US,Container,97,1915,334,89.87,1.03,0,0,1,1,0,52.0,98.0,53.0,80.71428571428571,98.0,52.0,78.06666666666666,98.0,52.0,0.9797979797979798
2023-01-09,East US,Storage,82,897,476,89.87,1.03,0,0,1,1,0,97.0,95.0,77.0,81.42857142857143,98.0,52.0,77.86666666666666,98.0,52.0,0.8282828282828283
2023-01-09,East US,VM,85,660,267,89.87,1.03,0,0,1,1,0,82.0,52.0,70.0,83.57142857142857,98.0,52.0,78.4,98.0,52.0,0.8585858585858586
2023-01-09,West US,Storage,82,1187,221,89.87,1.03,0,0,1,1,0,85.0,97.0,76.0,84.42857142857143,98.0,52.0,78.13333333333334,98.0,52.0,0.8282828282828283
2023-01-10,Southeast Asia,Container,89,1916,498,90.92,0.86,0,1,1,1,0,82.0,82.0,98.0,83.14285714285714,97.0,52.0,79.26666666666667,98.0,52.0,0.898989898989899
2023-01-10,Southeast Asia,Storage,51,654,472,90.92,0.86,0,1,1,1,0,89.0,85.0,95.0,76.85714285714286,97.0,51.0,78.8,98.0,51.0,0.5151515151515151
2023-01-10,Southeast Asia,VM,99,1811,350,90.92,0.86,0,1,1,1,0,51.0,82.0,52.0,83.57142857142857,99.0,51.0,80.26666666666667,99.0,51.0,1.0
2023-01-10,North Europe,Container,52,1185,479,90.92,0.86,0,1,1,1,0,99.0,89.0,97.0,77.14285714285714,99.0,51.0,79.56666666666666,99.0,51.0,0.5252525252525253
2023-01-10,North Europe,Storage,74,1065,257,90.92,0.86,0,1,1,1,0,52.0,51.0,82.0,76.0,99.0,51.0,79.83333333333333,99.0,51.0,0.7474747474747475
2023-01-10,North Europe,VM,52,627,217,90.92,0.86,0,1,1,1,0,74.0,99.0,85.0,71.28571428571429,99.0,51.0,79.26666666666667,99.0,51.0,0.5252525252525253
2023-01-10,West US,Storage,82,1639,390,90.92,0.86,0,1,1,1,0,52.0,52.0,82.0,71.28571428571429,99.0,51.0,78.73333333333333,99.0,51.0,0.8282828282828283
2023-01-10,West US,VM,80,1622,387,90.92,0.86,0,1,1,1,0,82.0,74.0,89.0,70.0,99.0,51.0,78.6,99.0,51.0,0.8080808080808081
2023-01-10,East US,Container,86,779,380,90.92,0.86,0,1,1,1,0,80.0,52.0,51.0,75.0,99.0,52.0,79.0,99.0,51.0,0.8686868686868687
2023-01-10,East US,Storage,55,598,432,90.92,0.86,0,1,1,1,0,86.0,82.0,99.0,68.71428571428571,86.0,52.0,77.6,99.0,51.0,0.5555555555555556
2023-01-10,East US,VM,77,657,245,90.92,0.86,0,1,1,1,0,55.0,80.0,52.0,72.28571428571429,86.0,52.0,77.86666666666666,99.0,51.0,0.7777777777777778
2023-01-10,West US,Container,70,1427,360,90.92,0.86,0,1,1,1,0,77.0,86.0,74.0,71.71428571428571,86.0,52.0,77.46666666666667,99.0,51.0,0.7070707070707071
2023-01-11,North Europe,Storage,72,1353,250,114.66,0.98,0,2,1,1,0,70.0,55.0,52.0,74.57142857142857,86.0,55.0,77.83333333333333,99.0,51.0,0.7272727272727273
2023-01-11,Southeast Asia,Container,91,1337,470,114.66,0.98,0,2,1,1,0,72.0,77.0,82.0,75.85714285714286,91.0,55.0,77.63333333333334,99.0,51.0,0.9191919191919192
2023-01-11,Southeast Asia,Storage,71,804,379,114.66,0.98,0,2,1,1,0,91.0,70.0,80.0,74.57142857142857,91.0,55.0,77.0,99.0,51.0,0.7171717171717171
2023-01-11,Southeast Asia,VM,71,813,257,114.66,0.98,0,2,1,1,0,71.0,72.0,86.0,72.42857142857143,91.0,55.0,76.66666666666667,99.0,51.0,0.7171717171717171
2023-01-11,North Europe,Container,74,1074,389,114.66,0.98,0,2,1,1,0,71.0,91.0,55.0,75.14285714285714,91.0,70.0,75.86666666666666,99.0,51.0,0.7474747474747475
2023-01-11,North Europe,VM,77,1877,487,114.66,0.98,0,2,1,1,0,74.0,71.0,77.0,75.14285714285714,91.0,70.0,76.13333333333334,99.0,51.0,0.7777777777777778
2023-01-11,East US,VM,97,1562,369,114.66,0.98,0,2,1,1,0,77.0,71.0,70.0,79.0,97.0,71.0,76.23333333333333,99.0,51.0,0.9797979797979798
2023-01-11,West US,Storage,95,899,341,114.66,0.98,0,2,1,1,0,97.0,74.0,72.0,82.28571428571429,97.0,71.0,77.63333333333334,99.0,51.0,0.9595959595959596
2023-01-11,West US,VM,69,820,463,114.66,0.98,0,2,1,1,0,95.0,77.0,91.0,79.14285714285714,97.0,69.0,77.36666666666666,99.0,51.0,0.696969696969697
2023-01-11,East US,Container,56,535,372,114.66,0.98,0,2,1,1,0,69.0,97.0,71.0,77.0,97.0,56.0,76.9,99.0,51.0,0.5656565656565656
2023-01-11,East US,Storage,75,1420,212,114.66,0.98,0,2,1,1,0,56.0,95.0,71.0,77.57142857142857,97.0,56.0,76.86666666666666,99.0,51.0,0.7575757575757576
2023-01-11,West US,Container,61,970,342,114.66,0.98,0,2,1,1,0,75.0,69.0,74.0,75.71428571428571,97.0,56.0,75.63333333333334,99.0,51.0,0.6161616161616161
2023-01-12,North Europe,Storage,68,1581,428,100.68,0.86,0,3,1,1,0,61.0,56.0,77.0,74.42857142857143,97.0,56.0,74.73333333333333,99.0,51.0,0.6868686868686869
2023-01-12,Southeast Asia,Container,97,987,436,100.68,0.86,0,3,1,1,0,68.0,75.0,97.0,74.42857142857143,97.0,56.0,76.23333333333333,99.0,51.0,0.9797979797979798
2023-01-12,Southeast Asia,Storage,50,1301,295,100.68,0.86,0,3,1,1,0,97.0,61.0,95.0,68.0,97.0,50.0,74.66666666666667,99.0,50.0,0.5050505050505051
2023-01-12,Southeast Asia,VM,58,1512,328,100.68,0.86,0,3,1,1,0,50.0,68.0,69.0,66.42857142857143,97.0,50.0,73.86666666666666,99.0,50.0,0.5858585858585859
2023-01-12,North Europe,Container,75,616,478,100.68,0.86,0,3,1,1,0,58.0,97.0,56.0,69.14285714285714,97.0,50.0,73.53333333333333,99.0,50.0,0.7575757575757576
2023-01-12,North Europe,VM,91,1156,319,100.68,0.86,0,3,1,1,0,75.0,50.0,75.0,71.42857142857143,97.0,50.0,73.83333333333333,99.0,50.0,0.9191919191919192
2023-01-12,East US,Container,93,504,302,100.68,0.86,0,3,1,1,0,91.0,58.0,61.0,76.0,97.0,50.0,73.96666666666667,99.0,50.0,0.9393939393939394
2023-01-12,West US,Storage,84,1322,343,100.68,0.86,0,3,1,1,0,93.0,75.0,68.0,78.28571428571429,97.0,50.0,75.06666666666666,99.0,50.0,0.8484848484848485
2023-01-12,West US,VM,53,1273,246,100.68,0.86,0,3,1,1,0,84.0,91.0,97.0,72.0,93.0,50.0,73.53333333333333,97.0,50.0,0.5353535353535354
2023-01-12,West US,Container,62,869,323,100.68,0.86,0,3,1,1,0,53.0,93.0,50.0,73.71428571428571,93.0,53.0,73.86666666666666,97.0,50.0,0.6262626262626263
2023-01-12,East US,Storage,82,763,252,100.68,0.86,0,3,1,1,0,62.0,84.0,58.0,77.14285714285714,93.0,53.0,74.13333333333334,97.0,50.0,0.8282828282828283
2023-01-12,East US,VM,92,943,300,100.68,0.86,0,3,1,1,0,82.0,53.0,75.0,79.57142857142857,93.0,53.0,75.46666666666667,97.0,50.0,0.9292929292929293
2023-01-13,Southeast Asia,Storage,79,856,222,94.56,1.01,0,4,1,1,0,92.0,62.0,91.0,77.85714285714286,93.0,53.0,75.36666666666666,97.0,50.0,0.797979797979798
2023-01-13,Southeast Asia,VM,85,1812,453,94.56,1.01,0,4,1,1,0,79.0,82.0,93.0,76.71428571428571,92.0,53.0,75.53333333333333,97.0,50.0,0.8585858585858586
2023-01-13,North Europe,Container,65,717,238,94.56,1.01,0,4,1,1,0,85.0,92.0,84.0,74.0,92.0,53.0,74.83333333333333,97.0,50.0,0.6565656565656566
2023-01-13,North Europe,Storage,95,1457,403,94.56,1.01,0,4,1,1,0,65.0,79.0,53.0,80.0,95.0,62.0,76.16666666666667,97.0,50.0,0.9595959595959596
2023-01-13,North Europe,VM,96,1508,293,94.56,1.01,0,4,1,1,0,95.0,85.0,62.0,84.85714285714286,96.0,65.0,76.8,97.0,50.0,0.9696969696969697
2023-01-13,Southeast Asia,Container,59,1623,489,94.56,1.01,0,4,1,1,0,96.0,65.0,82.0,81.57142857142857,96.0,59.0,76.43333333333334,97.0,50.0,0.5959595959595959
2023-01-13,West US,Storage,65,1958,285,94.56,1.01,0,4,1,1,0,59.0,95.0,92.0,77.71428571428571,96.0,59.0,76.2,97.0,50.0,0.6565656565656566
2023-01-13,West US,VM,52,1599,353,94.56,1.01,0,4,1,1,0,65.0,96.0,79.0,73.85714285714286,96.0,52.0,74.9,97.0,50.0,0.5252525252525253
2023-01-13,East US,Container,71,1360,446,94.56,1.01,0,4,1,1,0,52.0,59.0,85.0,71.85714285714286,96.0,52.0,74.9,97.0,50.0,0.7171717171717171
2023-01-13,East US,Storage,88,1203,268,94.56,1.01,0,4,1,1,0,71.0,65.0,65.0,75.14285714285714,96.0,52.0,75.46666666666667,97.0,50.0,0.8888888888888888
2023-01-13,East US,VM,50,1795,388,94.56,1.01,0,4,1,1,0,88.0,52.0,95.0,68.71428571428571,96.0,50.0,74.66666666666667,97.0,50.0,0.5050505050505051
